Topic: trl-cpg-nodes-v1	TopicId: jb7ZJTabTPSv90JT6QzESQ	PartitionCount: 3	ReplicationFactor: 1	Configs: 
	Topic: trl-cpg-nodes-v1	Partition: 0	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: trl-cpg-nodes-v1	Partition: 1	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: trl-cpg-nodes-v1	Partition: 2	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
Topic: trl-source-metadata-v1	TopicId: lK8dMNnmSWCmtep9eYtYLg	PartitionCount: 1	ReplicationFactor: 1	Configs: 
	Topic: trl-source-metadata-v1	Partition: 0	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
Topic: trl-parser-errors-v1	TopicId: 9u2jLAILR6G1swJ4_cK39A	PartitionCount: 1	ReplicationFactor: 1	Configs: 
	Topic: trl-parser-errors-v1	Partition: 0	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
Topic: lab-connect-offsets	TopicId: QrJCsn9vSXKQeAWOTtmgIg	PartitionCount: 25	ReplicationFactor: 1	Configs: cleanup.policy=compact
	Topic: lab-connect-offsets	Partition: 0	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: lab-connect-offsets	Partition: 1	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: lab-connect-offsets	Partition: 2	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: lab-connect-offsets	Partition: 3	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: lab-connect-offsets	Partition: 4	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: lab-connect-offsets	Partition: 5	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: lab-connect-offsets	Partition: 6	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: lab-connect-offsets	Partition: 7	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: lab-connect-offsets	Partition: 8	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: lab-connect-offsets	Partition: 9	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: lab-connect-offsets	Partition: 10	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
